seq,metric,cat_mean,cat_std,media_mean,media_std,moral_mean,moral_std,sem_mean,sem_std,num
UserHistory,𝐷𝑅𝑅,0.2194,0.21,0.1908,0.17,0.1336,0.14,0.2861,0.22,49108
UserHistory,𝑅𝑅𝑑𝑖𝑠𝑡,0.3880,0.28,0.3641,0.26,0.3164,0.26,0.4532,0.29,49108
UserHistory,𝑈𝑛𝑖𝑞,0.5453,0.23,0.5288,0.21,0.7459,0.20,0.4883,0.23,49108
UserHistory,𝐺𝑖𝑛𝑖,0.6715,0.19,0.6956,0.16,0.7464,0.16,0.6115,0.18,49108
PerCategory,𝐷𝑅𝑅,-,-,0.2990,0.35,0.1591,0.26,0.3217,0.35,687054
PerCategory,𝑅𝑅𝑑𝑖𝑠𝑡,-,-,0.4703,0.40,0.3354,0.37,0.4979,0.40,687054
PerCategory,𝑈𝑛𝑖𝑞,-,-,0.5523,0.35,0.7385,0.28,0.5454,0.35,687054
PerCategory,𝐺𝑖𝑛𝑖,-,-,0.5058,0.24,0.6051,0.19,0.4886,0.23,687054
WithImpressions,𝐷𝑅𝑅,0.2182,0.16,0.1959,0.13,0.1331,0.11,0.2978,0.17,5723002
WithImpressions,𝑅𝑅𝑑𝑖𝑠𝑡,0.3126,0.23,0.3007,0.20,0.2533,0.20,0.3813,0.24,5723002
WithImpressions,𝑈𝑛𝑖𝑞,0.5563,0.19,0.5075,0.17,0.8077,0.18,0.4902,0.19,5723002
WithImpressions,𝐺𝑖𝑛𝑖,0.7291,0.13,0.7473,0.10,0.8061,0.09,0.6515,0.14,5723002
WithClicks,𝐷𝑅𝑅,0.2227,0.17,0.1946,0.13,0.1336,0.10,0.2914,0.16,231530
WithClicks,𝑅𝑅𝑑𝑖𝑠𝑡,0.3093,0.22,0.2942,0.20,0.2490,0.20,0.3674,0.25,231530
WithClicks,𝑈𝑛𝑖𝑞,0.5580,0.19,0.5128,0.17,0.8113,0.18,0.5080,0.20,231530
WithClicks,𝐺𝑖𝑛𝑖,0.7253,0.14,0.7497,0.10,0.8066,0.09,0.6597,0.13,231530
